Beta,Step,Energy,Magnetization
0.1,1000,-8,4
0.1,1010,-8,-2
0.1,1020,4,-10
0.1,1030,4,0
0.1,1040,-20,-22
0.1,1050,-28,14
0.1,1060,-20,24
0.1,1070,-24,4
0.1,1080,-16,4
0.1,1090,0,-2
0.1,1100,-16,4
0.1,1110,-24,12
0.1,1120,-20,4
0.1,1130,0,-16
0.1,1140,-12,10
0.1,1150,-8,-20
0.1,1160,0,-6
0.1,1170,-8,0
0.1,1180,-28,24
0.1,1190,-12,10
0.1,1200,-4,-6
0.1,1210,-4,16
0.1,1220,0,8
0.1,1230,0,0
0.1,1240,-24,-16
0.1,1250,-24,-10
0.1,1260,-8,18
0.1,1270,0,2
0.1,1280,-16,-6
0.1,1290,4,2
0.1,1300,-16,-8
0.1,1310,-16,-12
0.1,1320,-8,8
0.1,1330,-20,34
0.1,1340,-20,-8
0.1,1350,-12,-28
0.1,1360,-16,-8
0.1,1370,-16,-2
0.1,1380,-8,2
0.1,1390,-16,36
0.1,1400,-12,-4
0.1,1410,-12,-14
0.1,1420,0,14
0.1,1430,-20,22
0.1,1440,-28,-2
0.1,1450,-8,-4
0.1,1460,-8,6
0.1,1470,12,10
0.1,1480,-4,20
0.1,1490,-8,-12
0.1,1500,-12,-14
0.1,1510,-12,-20
0.1,1520,-28,6
0.1,1530,-8,-2
0.1,1540,0,4
0.1,1550,-12,-4
0.1,1560,-8,6
0.1,1570,-24,20
0.1,1580,-28,10
0.1,1590,-16,0
0.1,1600,-4,-2
0.1,1610,-16,0
0.1,1620,-20,-4
0.1,1630,0,-12
0.1,1640,-28,10
0.1,1650,-16,2
0.1,1660,4,-10
0.1,1670,-16,-32
0.1,1680,0,-6
0.1,1690,-4,4
0.1,1700,0,16
0.1,1710,-16,6
0.1,1720,-8,2
0.1,1730,-8,12
0.1,1740,-8,2
0.1,1750,-4,18
0.1,1760,-12,0
0.1,1770,-20,-2
0.1,1780,4,-6
0.1,1790,-8,0
0.1,1800,-8,6
0.1,1810,0,-2
0.1,1820,8,6
0.1,1830,-16,0
0.1,1840,-4,10
0.1,1850,-8,-6
0.1,1860,-12,-8
0.1,1870,4,-12
0.1,1880,-20,0
0.1,1890,-12,0
0.1,1900,-8,-10
0.1,1910,0,6
0.1,1920,-4,4
0.1,1930,12,-10
0.1,1940,-24,26
0.1,1950,-16,0
0.1,1960,0,0
0.1,1970,0,4
0.1,1980,12,-6
0.1,1990,-12,16
0.1,2000,-12,8
0.1,2010,0,12
0.1,2020,-28,0
0.1,2030,-8,-4
0.1,2040,-12,12
0.1,2050,-8,8
0.1,2060,-8,-8
0.1,2070,-4,4
0.1,2080,-8,6
0.1,2090,-28,-4
0.1,2100,-20,10
0.1,2110,8,4
0.1,2120,-12,-12
0.1,2130,-12,-8
0.1,2140,-16,-16
0.1,2150,-8,-6
0.1,2160,-16,-26
0.1,2170,4,-10
0.1,2180,-24,-2
0.1,2190,-4,12
0.1,2200,-24,2
0.1,2210,-20,-10
0.1,2220,4,-12
0.1,2230,12,6
0.1,2240,-8,16
0.1,2250,-16,20
0.1,2260,-4,0
0.1,2270,8,10
0.1,2280,-4,2
0.1,2290,-8,18
0.1,2300,0,-8
0.1,2310,-20,-28
0.1,2320,-12,-2
0.1,2330,-24,2
0.1,2340,-4,-2
0.1,2350,-8,-10
0.1,2360,-16,10
0.1,2370,-12,-4
0.1,2380,-16,12
0.1,2390,-12,-10
0.1,2400,-8,6
0.1,2410,0,-8
0.1,2420,-16,-16
0.1,2430,0,8
0.1,2440,-8,10
0.1,2450,4,0
0.1,2460,-4,2
0.1,2470,-16,12
0.1,2480,-4,6
0.1,2490,-28,26
0.1,2500,-12,-18
0.1,2510,-8,-10
0.1,2520,-36,8
0.1,2530,-4,2
0.1,2540,-8,-6
0.1,2550,-12,6
0.1,2560,0,10
0.1,2570,-4,10
0.1,2580,-4,-4
0.1,2590,-28,-32
0.1,2600,-4,-12
0.1,2610,-28,-10
0.1,2620,-8,8
0.1,2630,-4,2
0.1,2640,16,-18
0.1,2650,-12,-22
0.1,2660,-20,-4
0.1,2670,-4,20
0.1,2680,-8,0
0.1,2690,-8,0
0.1,2700,-16,-18
0.1,2710,-20,10
0.1,2720,-12,-4
0.1,2730,-16,0
0.1,2740,-8,10
0.1,2750,-16,-6
0.1,2760,16,-2
0.1,2770,-8,14
0.1,2780,-32,4
0.1,2790,-4,-6
0.1,2800,-4,-4
0.1,2810,-28,12
0.1,2820,8,-10
0.1,2830,-4,0
0.1,2840,-4,-4
0.1,2850,-8,14
0.1,2860,-28,-22
0.1,2870,-20,28
0.1,2880,0,0
0.1,2890,-12,10
0.1,2900,-24,8
0.1,2910,-8,-8
0.1,2920,-4,-8
0.1,2930,12,-10
0.1,2940,-4,-6
0.1,2950,-28,10
0.1,2960,-8,-22
0.1,2970,-16,2
0.1,2980,0,-4
0.1,2990,-20,26
0.1,3000,-16,6
0.1,3010,0,4
0.1,3020,12,-10
0.1,3030,-8,-6
0.1,3040,8,14
0.1,3050,-36,-32
0.1,3060,-8,4
0.1,3070,0,-2
0.1,3080,-12,-16
0.1,3090,-16,6
0.1,3100,-4,-16
0.1,3110,-4,2
0.1,3120,-4,8
0.1,3130,-16,0
0.1,3140,-4,-4
0.1,3150,-20,6
0.1,3160,-20,-6
0.1,3170,-8,18
0.1,3180,-8,-10
0.1,3190,-28,4
0.1,3200,4,-10
0.1,3210,-8,0
0.1,3220,-8,-6
0.1,3230,-8,10
0.1,3240,-4,-10
0.1,3250,8,2
0.1,3260,-4,8
0.1,3270,4,-24
0.1,3280,0,0
0.1,3290,0,8
0.1,3300,-20,-4
0.1,3310,-32,-18
0.1,3320,-16,8
0.1,3330,-12,-20
0.1,3340,-12,-6
0.1,3350,-12,6
0.1,3360,-20,2
0.1,3370,-16,-16
0.1,3380,-16,-14
0.1,3390,-12,8
0.1,3400,-20,6
0.1,3410,-20,22
0.1,3420,4,-4
0.1,3430,-8,-10
0.1,3440,-16,-8
0.1,3450,-8,4
0.1,3460,-12,-16
0.1,3470,0,0
0.1,3480,-4,16
0.1,3490,8,-2
0.1,3500,-12,-2
0.1,3510,-4,0
0.1,3520,-8,14
0.1,3530,12,8
0.1,3540,-8,-6
0.1,3550,-20,6
0.1,3560,-20,-6
0.1,3570,4,2
0.1,3580,8,-4
0.1,3590,-8,-22
0.1,3600,-16,12
0.1,3610,-16,2
0.1,3620,-16,16
0.1,3630,-16,0
0.1,3640,-20,-4
0.1,3650,-12,-10
0.1,3660,0,-10
0.1,3670,-4,-10
0.1,3680,-12,4
0.1,3690,12,20
0.1,3700,-20,0
0.1,3710,-12,14
0.1,3720,-8,4
0.1,3730,12,-10
0.1,3740,-20,-12
0.1,3750,-4,10
0.1,3760,12,-10
0.1,3770,-12,-22
0.1,3780,-8,-4
0.1,3790,-20,-6
0.1,3800,-8,-10
0.1,3810,-16,-26
0.1,3820,-8,-12
0.1,3830,-4,-12
0.1,3840,-12,-2
0.1,3850,-4,-22
0.1,3860,12,-14
0.1,3870,-8,-10
0.1,3880,-4,2
0.1,3890,-8,-12
0.1,3900,-16,10
0.1,3910,-16,0
0.1,3920,-12,-6
0.1,3930,-28,0
0.1,3940,-4,4
0.1,3950,-12,8
0.1,3960,-8,-18
0.1,3970,-16,10
0.1,3980,-12,-22
0.1,3990,-8,6
0.1,4000,-12,-30
0.1,4010,-12,-2
0.1,4020,-8,10
0.1,4030,-16,-18
0.1,4040,-8,16
0.1,4050,-12,-8
0.1,4060,-24,-22
0.1,4070,-16,-10
